Weight,item 1,item 2,item 3,item 4,item 5,item 6,item 7,item 8,item 9,item 10,item 11,item 12,item 13,item 14,item 15,item 16,item 17,item 18,item 19,item 20,item 21,item 22,item 23,item 24,item 25,item 26,item 27
21,16000,17000,24000,38000,44000,53000,55000,65000,65000,69000,72000,79000,91000,92000,104000,104000,104000,110000,119000,119000,119000,123000,123000,123000,123000,123000,132000
22,16000,17000,24000,38000,44000,54000,59000,65000,65000,72000,72000,79000,93000,93000,104000,104000,105000,110000,124000,124000,124000,125000,125000,125000,125000,125000,138000
23,16000,17000,24000,38000,44000,54000,59000,71000,71000,76000,76000,79000,97000,97000,109000,109000,109000,116000,124000,124000,124000,130000,130000,130000,130000,130000,142000
24,16000,17000,24000,38000,44000,54000,59000,71000,71000,76000,78000,85000,97000,98000,110000,110000,111000,117000,130000,130000,130000,130000,130000,130000,130000,130000,144000
25,16000,17000,24000,38000,44000,54000,65000,71000,71000,76000,82000,85000,97000,102000,114000,114000,114000,121000,131000,131000,131000,136000,136000,136000,136000,136000,149000
26,16000,17000,24000,38000,44000,54000,65000,73000,73000,82000,82000,89000,103000,103000,115000,115000,116000,123000,135000,135000,135000,137000,137000,137000,137000,137000,149000
27,16000,17000,24000,38000,44000,54000,65000,77000,77000,82000,82000,91000,103000,103000,119000,119000,119000,126000,137000,137000,137000,141000,141000,141000,141000,141000,155000
28,16000,17000,24000,38000,44000,54000,65000,77000,77000,82000,88000,95000,107000,108000,120000,121000,121000,128000,140000,140000,140000,143000,143000,143000,143000,143000,156000
29,16000,17000,24000,38000,44000,54000,66000,77000,77000,84000,88000,95000,109000,109000,120000,121000,122000,131000,142000,142000,142000,146000,146000,146000,146000,146000,160000
30,16000,17000,24000,38000,44000,54000,66000,83000,83000,88000,88000,95000,113000,113000,125000,126000,126000,133000,145000,145000,145000,148000,148000,148000,148000,148000,162000
31,16000,17000,24000,38000,44000,54000,66000,83000,83000,88000,90000,101000,113000,114000,126000,127000,128000,134000,147000,147000,147000,151000,151000,151000,151000,151000,165000
32,16000,17000,24000,38000,44000,54000,66000,83000,83000,88000,94000,101000,113000,118000,130000,131000,131000,138000,148000,149000,149000,153000,153000,153000,153000,153000,167000
33,16000,17000,24000,38000,44000,54000,66000,83000,83000,94000,94000,101000,119000,119000,131000,132000,133000,140000,152000,152000,152000,155000,155000,155000,155000,155000,170000
34,16000,17000,24000,38000,44000,54000,66000,84000,88000,94000,94000,103000,119000,119000,135000,136000,136000,143000,154000,154000,154000,158000,158000,158000,158000,158000,172000
35,16000,17000,24000,38000,44000,54000,66000,84000,88000,94000,100000,107000,119000,124000,136000,137000,138000,145000,157000,157000,157000,160000,160000,160000,160000,160000,174000
36,16000,17000,24000,38000,44000,54000,66000,84000,88000,94000,100000,107000,121000,124000,136000,137000,139000,148000,159000,159000,159000,163000,163000,163000,163000,163000,177000
37,16000,17000,24000,38000,44000,54000,66000,84000,88000,99000,100000,107000,125000,125000,141000,142000,143000,150000,162000,162000,162000,165000,165000,165000,165000,165000,179000
38,16000,17000,24000,38000,44000,54000,66000,84000,89000,99000,100000,113000,125000,126000,141000,143000,144000,151000,164000,164000,164000,168000,168000,168000,168000,168000,182000
39,16000,17000,24000,38000,44000,54000,66000,84000,89000,99000,105000,113000,125000,130000,142000,147000,147000,155000,165000,166000,166000,170000,170000,170000,170000,170000,184000
40,16000,17000,24000,38000,44000,54000,66000,84000,89000,99000,105000,113000,131000,131000,143000,148000,149000,156000,169000,169000,169000,172000,172000,172000,172000,172000,187000
